Kd_Prov;Provinsi ;Jumlah_PDAM;Kap_Terpasang;Volume_Produksi_Riil;Jumlah_Pelanggan;Penduduk_Pelayanan;Penduduk_Terlayani;Cakupan_Pelayanan;Rata2_Kehilangan_Air;Rasio_Prod_Terlayani
11;Aceh;17;4512;2617;194997;3581310;1106999;30.9104489697904;38.4547058823529;2.36404910934879
12;Sumatera Utara;18;11622;10083;736814;8954722;3658307;40.8533843931727;32.3666666666667;2.75619296029557
13;Sumatera Barat;16;5526;3336;285732;3301649;1778971;53.8812878049726;34.636875;1.87524136143872
14;Riau;6;1734;722;61187;2053452;476531;23.206337425954;30.1;1.51511654016213
15;Jambi;9;3328;2062;170800;1728017;1083559;62.7053437552987;32.3111111111111;1.90298820830246
16;Sumatera Selatan;13;8974;5615;426593;4888490;2739687;56.0436249230335;35.0153846153846;2.04950419518726
17;Bengkulu;7;1771;1196;79091;898454;486622;54.1621496481734;45.7;2.45775982179186
18;Lampung;8;1602;898;77200;1779098;568208;31.9379820560756;42.2625;1.58040717483738
19;Kepulauan Bangka Belitung;6;1038;288;21544;723429;134392;18.5770822015706;37.1333333333333;2.14298470147033
21;Kepulauan Riau;4;678;494;35131;520639;195698;37.5880408498019;43.9;2.52429764228556
31;DKI Jakarta;1;19082;18861;839393;9679267;6062927;62.6382865562031;43.3;3.11087367537165
32;Jawa Barat;23;22839;17037;1466374;26318198;10820022;41.1123208359478;29.9;1.5745809019612
33;Jawa Tengah;35;21801;15340;1471885;22906959;9397367;41.0240704582394;29.6885714285714;1.63237213147044
34;D.I. Yogyakarta;5;2232;1505;153021;2400347;1067073;44.4549475554993;27.88;1.41040022566404
35;Jawa Timur;38;29561;21895;1765620;24133951;11035889;45.7276514732296;27.9947368421053;1.98398153515317
36;Banten;6;7945;6433;258310;5929206;2897619;48.8702703194998;23.3;2.22009863960721
51;Bali;9;6693;5190;408048;3547712;2440263;68.7841346760955;28.7666666666667;2.12681993703138
52;Nusa Tenggara Barat;8;3955;2772;252902;3403968;1552481;45.6079786884013;39.55;1.78552909826272
53;Nusa Tenggara Timur;15;2756;1242;133115;2565257;916614;35.7318584453721;34.6;1.35498694106789
61;Kalimantan Barat;13;3926;2565;194899;3316132;1080515;32.5835943804408;34.2230769230769;2.37386801664021
62;Kalimantan Tengah;14;2380;1373;131764;1198452;742110;61.9223798700323;25.7071428571429;1.85013003463098
63;Kalimantan Selatan;12;6621;3774;394862;3538101;2125081;60.0627568291578;29.6166666666667;1.77593230563917
64;Kalimantan Timur;9;7223;5911;396673;3302719;2394456;72.4995375022822;25.2444444444444;2.46861917696546
65;Kalimantan Utara;5;1538;755;46861;499071;288575;57.8224340825253;30.4;2.61630425366023
71;Sulawesi Utara;10;2288;1212;68851;1211360;493430;40.7335556729626;63.36;2.45627545953833
72;Sulawesi Tengah;9;1828;925;96966;1462777;600889;41.0786469844686;25.8444444444444;1.53938581002481
73;Sulawesi Selatan;24;8050;5684;423293;5954347;2644532;44.4134680091704;31.74875;2.14934060166411
74;Sulawesi Tenggara;10;1656;855;82103;1383926;451122;32.5972631484631;36.36;1.89527444904039
75;Gorontalo;5;1282;575;64544;879776;519692;59.0709453315389;33.74;1.1064245745557
76;Sulawesi Barat;4;446;319;35743;601575;229296;38.1159456426879;36.675;1.3912148489289
81;Maluku;6;1248;424;40121;501709;280502;55.9093020057444;33.7333333333333;1.51157567503975
82;Maluku Utara;7;1204;747;66396;806717;400473;49.6423157067472;31.2142857142857;1.86529428950266
91;Papua Barat;2;129;121;10565;163563;65560;40.0824147270471;37.85;1.84563758389262
94;Papua;4;1004;834;40915;548753;256966;46.8272610810328;53.375;3.24556556120265
xxx;Indonesia;378;198472;143660;10932313;154683103;70992428;45.8953994477341;33.1682275132275;2.02359609393836
