Kd_Prov;Provinsi ;Jumlah_PDAM;Kap_Terpasang;Volume_Produksi_Riil;Jumlah_Pelanggan;Penduduk_Pelayanan;Penduduk_Terlayani;Cakupan_Pelayanan;Rata2_Kehilangan_Air;Rasio_Prod_Terlayani
11;Aceh;15;3899.7;2332.6;182099;3294722;1053190;31.9659746710041;38.9333298677479;2.21479505122532
51;Bali;9;6482.4;5001.8;393757;3468302;2291272;66.0632205615313;29.0236834312752;2.18297958513874
36;Banten;6;7264.7;6199.2;453805;6459840;2820924;43.6686357556844;23.0507744662346;2.19757781492873
17;Bengkulu;7;1657.6;1145.2;76704;865573;473573;54.7120808990114;46.0689343164561;2.41821218692789
34;D.I. Yogyakarta;5;1959.4;1428.6;144953;2758393;1080285;39.1635637126399;30.0260366406853;1.32242880351018
31;DKI Jakarta;1;17961.1;17769.6;830857;9548008;5927147;62.0773149750189;41.022702416547;2.99800224290034
75;Gorontalo;5;1148.6;625;60915;1000051;540699;54.0671425757286;33.862853198801;1.15591114464795
15;Jambi;9;3089.2;1734.1;159193;1694382;1013035;59.7878754613777;31.5876294195667;1.71178685830203
32;Jawa Barat;23;21934.1;16330;1402112;24697856;10087741;40.8446020577657;30.0973093561456;1.61879651747601
33;Jawa Tengah;35;21324.5;14783;1396886;22114488;8914337;40.3099407049352;29.4994326214262;1.65833981820521
35;Jawa Timur;38;28853.9;21200.5;1700587;23673308;10766192;45.478190035799;29.4225347985725;1.96917350164292
61;Kalimantan Barat;12;3419.5;2297.2;180547;2867527;979873;34.1713608973865;36.3318322105036;2.34438544586901
63;Kalimantan Selatan;12;6143.8;3587.6;374188;3438253;2079979;60.4952282452746;28.8159100178897;1.72482510640732
62;Kalimantan Tengah;14;2184.8;1300.2;124494;1317368;705399;53.5460858317494;25.2724004627123;1.84321213951253
64;Kalimantan Timur;9;7124;5820.9;380197;2978636;2291086;76.9172869729635;29.1939020167339;2.54067285121554
65;Kalimantan Utara;5;1242.5;701;42703;479273;263738;55.0287623129198;32.9306395755906;2.65794083522283
19;Kep. Bangka Belitung;6;945.5;276.3;19945;594273;121820;20.4989962525641;36.0926944201627;2.2681004761123
21;Kepulauan Riau;3;558.1;352.7;26323;360105;128078;35.5668485580595;39.2252768383484;2.75379065881728
18;Lampung;8;1505.5;886.8;72398;1733356;514728;29.6954578286284;42.551240367362;1.72285168088777
81;Maluku;6;1103.6;394.5;37270;493274;265698;53.8641809623049;34.9492974982609;1.48476842129034
82;Maluku Utara;6;946;668.2;55574;573724;330536;57.6123711052701;41.6934201164752;2.02156497325556
52;Nusa Tenggara Barat;8;3728;2622;231018;3110982;1384015;44.4880426823427;39.9319763558663;1.89448813777307
53;Nusa Tenggara Timur;15;2508.1;1273.3;122195;2127163;911181;42.8355043783669;31.7302160888802;1.3974171981198
94;Papua;4;1012.3;822.1;36066;536670;219888;40.9726647660574;43.7684383278258;3.73872153096122
91;Papua Barat;2;149;114.4;10263;160223;64022;39.9580584560269;36.2337900541767;1.78688575802068
14;Riau;6;1975;736.9;59558;2048389;412654;20.1452946681514;44.4088399607151;1.78575755960199
76;Sulawesi Barat;3;570;259.2;30870;501053;213406;42.5915022961643;26.9197616001345;1.21458628154785
73;Sulawesi Selatan;24;8089.9;5682.8;405250;5687021;2471703;43.4621746605121;37.0905788993484;2.2991435459681
72;Sulawesi Tengah;8;1646.4;858;83058;1371658;515963;37.6160092384545;25.2178459648947;1.66290993734047
74;Sulawesi Tenggara;10;1676.9;798.3;76827;1485724;479232;32.2557890967636;43.1180317417879;1.66579026442308
71;Sulawesi Utara;10;2168.8;1143.3;64827;1254373;446343;35.5829565846841;56.7248139058704;2.56148298505858
13;Sumatera Barat;16;5172.3;3201.5;265047;3381158;1663092;49.1870536662291;34.172390943336;1.92502880177405
16;Sumatera Selatan;13;8523;5447.7;405619;4885282;2536954;51.9305538554376;33.4659738485999;2.14733889538399
12;Sumatera Utara;18;11407.9;9656.1;726167;8293067;3372639;40.6681749948481;34.4249974507167;2.86306954287132
xxx;Indonesia;371;189376.1;137450.9;10632272;239674113;67340421;28.0966601511946;0;2.04113514526439
