Kd_Prov;Provinsi ;Jumlah_PDAM;Kap_Terpasang;Volume_Produksi_Riil;Jumlah_Pelanggan;Penduduk_Pelayanan;Penduduk_Terlayani;Cakupan_Pelayanan;Rata2_Kehilangan_Air;Rasio_Prod_Terlayani
11;Aceh ;19;4701;2936;216053;3865412;1187848;30.7301783095825;44.1068421052632;2.47169671540466
12;Sumatera Utara ;18;12713;10530;770045;9239945;3939901;42.6398750209011;32.8216666666667;2.67265598805655
13;Sumatera Barat ;16;5669;3585;289753;3120997;1633054;52.3247539167772;35.9575;2.19527339573584
14;Riau ;5;1833;624;61368;1818899;475441;26.1389444933446;34.914;1.3124656897491
15;Jambi ;9;3577;1979;186575;1908843;1137489;59.5904953943305;32.0944444444444;1.7397970441912
16;Sumatera Selatan ;12;9069;5580;452321;5160009;2839258;55.0242838723731;32.775;1.96530220219508
17;Bengkulu ;7;1907;1219;81188;908964;485781;53.443370694549;50.9742857142857;2.5093612142097
18;Lampung ;8;1639;898;74547;1875398;562007;29.9673455981077;41.64375;1.59784486670095
19;Kepulauan Bangka Belitung ;6;1115;334;24451;652378;156952;24.0584446440561;41.035;2.12803914572608
21;Kepulauan Riau ;4;751;517;30230;568224;208907;36.7649025736329;43.0025;2.47478543083765
31;DKI Jakarta ;1;20225;19452;851469;9818240;6109287;62.2238507105143;44.16;3.18400494198423
32;Jawa Barat ;23;21218;17331;1485621;25234025;11365812;45.0416134564343;29.1160869565217;1.52483606098711
33;Jawa Tengah ;35;22457;15992;1316648;23650000;6322480;26.7335306553911;29.8371428571429;2.52938720249016
34;D.I. Yogyakarta;5;2376;1603;162547;2834408;1104148;38.955153951019;26.94;1.45179812851176
35;Jawa Timur ;38;18504;22878;1798579;21929316;10078424;45.958679240155;28.2152631578947;2.26999776949253
36;Banten;6;8018;6442;246152;6678846;2796070;41.8645676214124;23.9166666666667;2.30394804135805
51;Bali ;9;6673;5232;421424;3574463;2517346;70.4258513796338;30.7933333333333;2.07837937256142
52;Nusa Tenggara Barat ;8;4044;2815;259316;3400412;1543458;45.3903232902366;37.0025;1.82382675783857
53;Nusa Tenggara Timur ;15;2704;1337;135209;2577412;898103;34.8451469924094;33.1033333333333;1.48869339040177
61;Kalimantan Barat ;13;4117;2784;201327;3066991;1085841;35.4041143257349;35.8715384615385;2.5639112908796
62;Kalimantan Tengah ;14;2491;1367;138388;1284086;807464;62.8823926123328;26.4078571428571;1.6929547323472
63;Kalimantan Selatan ;12;6886;4091;422364;3572412;2186909;61.2165953982911;29.7091666666667;1.87067683200353
64;Kalimantan Timur ;9;7370;6278;421842;3284405;2546442;77.531303234528;27.6644444444444;2.46540074346873
65;Kalimantan Utara ;4;2945;780;51828;509285;310376;60.9434795841228;23.1675;2.51308090831765
71;Sulawesi Utara ;10;2470;1322;71704;1285319;499040;38.8261591091394;63.679;2.64908624559154
72;Sulawesi Tengah ;9;1846;1012;103848;1399560;631313;45.1079625025008;26.3144444444444;1.60300833342573
73;Sulawesi Selatan ;22;8151;5799;428893;5458494;2682119;49.1366116734762;34.2268181818182;2.1620964617901
74;Sulawesi Tenggara ;11;2267;1006;83870;1241964;449750;36.2128048800126;51.4181818181818;2.23679822123402
75;Gorontalo ;5;925;550;49440;728994;339227;46.5335791515431;31.496;1.62133320755718
76;Sulawesi Barat ;4;723;336;39995;658685;252754;38.37251493506;37.35;1.32935581632734
81;Maluku ;6;1151;407;43691;548862;315356;57.4563369298658;30.1216666666667;1.29060490366443
82;Maluku Utara ;6;1256;747;68316;658355;395684;60.1019206962809;32.0483333333333;1.88787011857947
91;Papua Barat ;2;129;125;10882;169058;67642;40.0111204438713;37.89;1.84796428254635
94;Papua ;3;1006;903;37590;394072;277970;70.537871251954;40.2133333333333;3.24855200201461
xxx;Indonesia ;374;192926;148791;11037474;153076733;68209653;44.5591251284413;34.0909090909091;2.18137746573788
